tax_year	qc_ct	pwages	pwages_unadj
2010	0		3275.5
2010	1		4925.5
2010	2		6925.5
2010	3		6925.5
2011	0		3275.5
2011	1		4925.5
2011	2		6925.5
2011	3		6925.5
2012	0		3275.5
2012	1		4925.5
2012	2		6925.5
2012	3		6925.5
2013	0		3275.5
2013	1		4925.5
2013	2		6925.5
2013	3		6925.5
2014	0		3275.5
2014	1		4925.5
2014	2		6925.5
2014	3		6925.5
2015	0	3275.5	
2015	1	4925.5	
2015	2	6925.5	
2015	3	6925.5	
2016	0	3375.5	
2016	1	5025.5	
2016	2	7075.5	
2016	3	7075.5	
2017	0	3425.5	
2017	1	5175.5	
2017	2	7275.5	
2017	3	7275.5	
2018	0	3575.5	
2018	1	5375.5	
2018	2	7525.5	
2018	3	7525.5	
2019	0	3725.5	
2019	1	5575.5	
2019	2	7825.5	
2019	3	7825.5	
