earn_low,earn_high,credit_qc0,credit_qc1,credit_qc2,credit_qc3
1,50,2,7,9,10
51,100,5,22,26,29
101,150,8,36,43,48
151,200,11,51,60,67
201,250,15,65,77,86
251,300,18,80,94,105
301,350,21,94,111,125
351,400,24,109,128,144
401,450,28,123,145,163
451,500,31,137,162,182
501,550,34,152,179,201
551,600,37,166,196,220
601,650,41,181,213,239
651,700,44,195,230,258
701,750,47,210,247,278
751,800,50,224,264,297
801,850,54,239,281,316
851,900,57,253,298,335
901,950,60,267,315,354
951,1000,63,282,332,373
1001,1050,67,296,349,392
1051,1100,70,311,366,411
1101,1150,73,325,383,431
1151,1200,76,340,400,450
1201,1250,80,354,417,469
1251,1300,83,369,434,488
1301,1350,86,383,451,507
1351,1400,89,398,468,526
1401,1450,93,412,485,545
1451,1500,96,426,502,564
1501,1550,99,441,519,584
1551,1600,102,455,536,603
1601,1650,106,470,553,622
1651,1700,109,484,570,641
1701,1750,112,499,587,660
1751,1800,115,513,604,679
1801,1850,119,528,621,698
1851,1900,122,542,638,717
1901,1950,125,556,655,737
1951,2000,128,571,672,756
2001,2050,132,585,689,775
2051,2100,135,600,706,794
2101,2150,138,614,723,813
2151,2200,141,629,740,832
2201,2250,145,643,757,851
2251,2300,148,658,774,870
2301,2350,151,672,791,890
2351,2400,154,687,808,909
2401,2450,158,701,825,928
2451,2500,161,715,842,947
2501,2550,164,730,859,966
2551,2600,167,744,876,985
2601,2650,171,759,893,1004
2651,2700,174,773,910,1023
2701,2750,177,788,927,1043
2751,2800,180,802,944,1062
2801,2850,184,817,961,1081
2851,2900,187,831,978,1100
2901,2950,190,845,995,1119
2951,3000,193,860,1012,1138
3001,3050,197,874,1029,1157
3051,3100,200,889,1046,1176
3101,3150,203,903,1063,1196
3151,3200,206,918,1080,1215
3201,3250,210,932,1097,1234
3251,3300,213,947,1114,1253
3301,3350,216,961,1131,1272
3351,3400,219,976,1148,1291
3401,3450,223,990,1165,1310
3451,3500,226,1004,1182,1329
3501,3550,229,1019,1199,1349
3551,3600,232,1033,1216,1368
3601,3650,236,1048,1233,1387
3651,3700,239,1062,1250,1406
3701,3750,240,1077,1267,1425
3751,3800,236,1091,1284,1444
3801,3850,233,1106,1301,1463
3851,3900,230,1120,1318,1482
3901,3950,227,1134,1335,1502
3951,4000,223,1149,1352,1521
4001,4050,220,1163,1369,1540
4051,4100,217,1178,1386,1559
4101,4150,214,1192,1403,1578
4151,4200,210,1207,1420,1597
4201,4250,207,1221,1437,1616
4251,4300,204,1236,1454,1635
4301,4350,201,1250,1471,1655
4351,4400,200,1265,1488,1674
4401,4450,199,1279,1505,1693
4451,4500,199,1293,1522,1712
4501,4550,199,1308,1539,1731
4551,4600,198,1322,1556,1750
4601,4650,198,1337,1573,1769
4651,4700,197,1351,1590,1788
4701,4750,197,1366,1607,1808
4751,4800,197,1380,1624,1827
4801,4850,196,1395,1641,1846
4851,4900,196,1409,1658,1865
4901,4950,195,1423,1675,1884
4951,5000,195,1438,1692,1903
5001,5050,195,1452,1709,1922
5051,5100,194,1467,1726,1941
5101,5150,194,1481,1743,1961
5151,5200,193,1496,1760,1980
5201,5250,193,1510,1777,1999
5251,5300,193,1525,1794,2018
5301,5350,192,1539,1811,2037
5351,5400,192,1554,1828,2056
5401,5450,192,1568,1845,2075
5451,5500,191,1582,1862,2094
5501,5550,191,1597,1879,2114
5551,5600,190,1605,1896,2133
5601,5650,190,1590,1913,2152
5651,5700,190,1576,1930,2171
5701,5750,189,1561,1947,2190
5751,5800,189,1547,1964,2209
5801,5850,188,1532,1981,2228
5851,5900,188,1518,1998,2247
5901,5950,188,1504,2015,2267
5951,6000,187,1489,2032,2286
6001,6050,187,1475,2049,2305
6051,6100,186,1460,2066,2324
6101,6150,186,1446,2083,2343
6151,6200,186,1431,2100,2362
6201,6250,185,1417,2117,2381
6251,6300,185,1402,2134,2400
6301,6350,184,1388,2151,2420
6351,6400,184,1373,2168,2439
6401,6450,184,1359,2185,2458
6451,6500,183,1345,2202,2477
6501,6550,183,1330,2219,2496
6551,6600,183,1316,2236,2515
6601,6650,182,1301,2253,2534
6651,6700,182,1287,2270,2553
6701,6750,181,1272,2287,2573
6751,6800,181,1258,2304,2592
6801,6850,181,1243,2321,2611
6851,6900,180,1229,2338,2630
6901,6950,180,1215,2355,2649
6951,7000,179,1200,2372,2668
7001,7050,179,1186,2389,2687
7051,7100,179,1171,2406,2706
7101,7150,178,1157,2423,2726
7151,7200,178,1142,2440,2745
7201,7250,177,1128,2457,2764
7251,7300,177,1113,2474,2783
7301,7350,177,1099,2491,2802
7351,7400,176,1084,2508,2821
7401,7450,176,1070,2525,2840
7451,7500,175,1056,2542,2859
7501,7550,175,1041,2559,2879
7551,7600,175,1027,2576,2898
7601,7650,174,1012,2593,2917
7651,7700,174,998,2610,2936
7701,7750,174,983,2627,2955
7751,7800,173,969,2644,2974
7801,7850,173,954,2651,2982
7851,7900,172,940,2634,2963
7901,7950,172,926,2617,2944
7951,8000,172,911,2600,2925
8001,8050,171,897,2583,2906
8051,8100,171,882,2566,2887
8101,8150,170,868,2549,2867
8151,8200,170,853,2532,2848
8201,8250,170,839,2515,2829
8251,8300,169,824,2498,2810
8301,8350,169,810,2481,2791
8351,8400,168,795,2464,2772
8401,8450,168,781,2447,2753
8451,8500,168,767,2430,2734
8501,8550,167,752,2413,2714
8551,8600,167,738,2396,2695
8601,8650,166,723,2379,2676
8651,8700,166,709,2362,2657
8701,8750,166,694,2345,2638
8751,8800,165,680,2328,2619
8801,8850,165,665,2311,2600
8851,8900,165,651,2294,2581
8901,8950,164,637,2277,2561
8951,9000,164,622,2260,2542
9001,9050,163,608,2243,2523
9051,9100,163,593,2226,2504
9101,9150,163,579,2209,2485
9151,9200,162,564,2192,2466
9201,9250,162,550,2175,2447
9251,9300,161,535,2158,2428
9301,9350,161,521,2141,2408
9351,9400,161,506,2124,2389
9401,9450,160,504,2107,2370
9451,9500,160,502,2090,2351
9501,9550,159,501,2073,2332
9551,9600,159,500,2056,2313
9601,9650,159,499,2039,2294
9651,9700,158,498,2022,2275
9701,9750,158,496,2005,2255
9751,9800,157,495,1988,2236
9801,9850,157,494,1971,2217
9851,9900,157,493,1954,2198
9901,9950,156,491,1937,2179
9951,10000,156,490,1920,2160
10001,10050,156,489,1903,2141
10051,10100,155,488,1886,2122
10101,10150,155,487,1869,2102
10151,10200,154,485,1852,2083
10201,10250,154,484,1835,2064
10251,10300,154,483,1818,2045
10301,10350,153,482,1801,2026
10351,10400,153,480,1784,2007
10401,10450,152,479,1767,1988
10451,10500,152,478,1750,1969
10501,10550,152,477,1733,1949
10551,10600,151,476,1716,1930
10601,10650,151,474,1699,1911
10651,10700,150,473,1682,1892
10701,10750,150,472,1665,1873
10751,10800,150,471,1648,1854
10801,10850,149,469,1631,1835
10851,10900,149,468,1614,1816
10901,10950,148,467,1597,1796
10951,11000,148,466,1580,1777
11001,11050,148,464,1563,1758
11051,11100,147,463,1546,1739
11101,11150,147,462,1529,1720
11151,11200,147,461,1512,1701
11201,11250,146,460,1495,1682
11251,11300,146,458,1478,1663
11301,11350,145,457,1461,1643
11351,11400,145,456,1444,1624
11401,11450,145,455,1427,1605
11451,11500,144,453,1410,1586
11501,11550,144,452,1393,1567
11551,11600,143,451,1376,1548
11601,11650,143,450,1359,1529
11651,11700,143,449,1342,1510
11701,11750,142,447,1325,1490
11751,11800,142,446,1308,1471
11801,11850,141,445,1291,1452
11851,11900,141,444,1274,1433
11901,11950,141,442,1257,1414
11951,12000,140,441,1240,1395
12001,12050,140,440,1223,1376
12051,12100,139,439,1206,1357
12101,12150,139,438,1189,1337
12151,12200,139,436,1172,1318
12201,12250,138,435,1155,1299
12251,12300,138,434,1138,1280
12301,12350,138,433,1121,1261
12351,12400,137,431,1104,1242
12401,12450,137,430,1087,1223
12451,12500,136,429,1070,1204
12501,12550,136,428,1053,1184
12551,12600,136,427,1036,1165
12601,12650,135,425,1019,1146
12651,12700,135,424,1002,1127
12701,12750,134,423,985,1108
12751,12800,134,422,968,1089
12801,12850,134,420,951,1070
12851,12900,133,419,934,1051
12901,12950,133,418,917,1031
12951,13000,132,417,900,1012
13001,13050,132,416,883,993
13051,13100,132,414,866,974
13101,13150,131,413,849,955
13151,13200,131,412,832,936
13201,13250,131,411,815,917
13251,13300,130,409,798,898
13301,13350,130,408,781,878
13351,13400,129,407,764,859
13401,13450,129,406,747,840
13451,13500,129,405,730,821
13501,13550,128,403,713,802
13551,13600,128,402,696,783
13601,13650,127,401,679,764
13651,13700,127,400,662,745
13701,13750,127,398,645,725
13751,13800,126,397,628,706
13801,13850,126,396,611,687
13851,13900,125,395,594,668
13901,13950,125,393,577,649
13951,14000,125,392,560,630
14001,14050,124,391,543,611
14051,14100,124,390,526,592
14101,14150,123,389,509,572
14151,14200,123,387,503,553
14201,14250,123,386,502,534
14251,14300,122,385,500,515
14301,14350,122,384,499,504
14351,14400,122,382,497,502
14401,14450,121,381,495,501
14451,14500,121,380,494,499
14501,14550,120,379,492,497
14551,14600,120,378,491,496
14601,14650,120,376,489,494
14651,14700,119,375,488,493
14701,14750,119,374,486,491
14751,14800,118,373,484,489
14801,14850,118,371,483,488
14851,14900,118,370,481,486
14901,14950,117,369,480,484
14951,15000,117,368,478,483
15001,15050,116,367,476,481
15051,15100,116,365,475,480
15101,15150,116,364,473,478
15151,15200,115,363,472,476
