"task","outcome","spec","N","b","se","p_crve","p_wcbs","p_riwcbs_t","p_riwcbs_b","p_block","p_block_fp","ct_lower","ct_upper","ct_p_ri","seed","B","B_ri"
10,"part_time_y",2,461616,2.88839089861645,0.389130965335069,5.51859323376249e-08,0.116883116883117,0.151055164753795,0.236208811551277,0.260739260739261,0.153846153846154,-1.28009352786795,5.93232085058614,0.25,56413,1000,100
11,"part_time_y",3,461616,3.14369046362421,0.644316514616007,4.2148591420193e-05,0.0989010989010989,0.383561643835616,0.201777119585339,0.230769230769231,0.0829170829170829,-1.16281151043538,6.11934415778684,0.214285714285714,56414,1000,100
12,"part_time_y",4,461616,3.74193227258066,0.67245978956164,6.71264058627417e-06,0.110889110889111,0.264346538319141,0.144390966308775,0.12987012987013,0.037962037962038,-0.661548037256683,7.06352182252956,0.178571428571429,56415,1000,100
1,"employed_y",1,461616,0.828043324672684,0.373312242637877,0.0351491653480162,0.392607392607393,0.752684191040355,0.721954831543873,0.709290709290709,0.377622377622378,-2.3972298272651,6.06958451497405,0.714285714285714,56404,1000,100
2,"employed_y",2,461616,0.351245688128704,0.358543126495984,0.335957405908903,0.514485514485514,0.830062939651981,0.805997778600518,0.844155844155844,0.516483516483517,-2.80063524830127,4.66738996160332,0.821428571428571,56405,1000,100
3,"employed_y",3,461616,0.312807801738846,0.463880371382197,0.505835518029332,0.564435564435564,0.878563495001851,0.860051832654572,0.865134865134865,0.576423576423576,-3.04430543783184,4.54202673752925,0.821428571428571,56406,1000,100
4,"employed_y",4,461616,-0.334712093975999,0.571060401117522,0.562660607472014,0.597402597402597,0.861162532395409,0.8326545723806,0.838161838161838,0.436563436563437,-3.82302358328814,4.65297984928176,0.785714285714286,56407,1000,100
5,"full_time_y",1,461616,-2.2231453392222,0.451216172795368,3.70566360059043e-05,0.213786213786214,0.393187708256201,0.399851906701222,0.403596403596404,0.102897102897103,-6.50022072590186,6.00952833529863,0.428571428571429,56408,1000,100
6,"full_time_y",2,461616,-2.53714521048775,0.45032277007254,5.57782236089571e-06,0.208791208791209,0.303961495742318,0.317660125879304,0.338661338661339,0.051948051948052,-7.19881346397045,5.20812265818161,0.321428571428571,56409,1000,100
7,"full_time_y",3,461616,-2.83088266188543,0.69704387577784,0.000376277414381389,0.103896103896104,0.393928174750093,0.276564235468345,0.315684315684316,0.004995004995005,-7.51263895711844,5.56775374917394,0.285714285714286,56410,1000,100
8,"full_time_y",4,461616,-4.07664436655676,0.795295938071967,2.17142709201241e-05,0.107892107892108,0.256201406886338,0.181784524250278,0.180819180819181,0.000999000999000999,-8.77730094586982,4.72077810574098,0.25,56411,1000,100
9,"part_time_y",1,461616,3.05118866389488,0.373800202723689,9.11254035459333e-09,0.118881118881119,0.0851536467974824,0.220659015179563,0.24975024975025,0.138861138861139,-0.934530656561036,6.44297678318972,0.214285714285714,56412,1000,100
