design,adults,outcome,spec,b,se,pval,stars,nobs,r2a,ntreat
quad,all,employed_y,1,1.824253740192995,.37934688,.00005089906,***,761195,.062799983,14566
quad,all,employed_y,2,1.592066422219768,.35981756,.00014279905,***,761195,.078448892,14566
quad,all,full_time_y,1,-.079974608521818,.66626483,.90534472,,761195,.07949394,14566
quad,all,full_time_y,2,-.1762789322976518,.65073621,.7885347,,761195,.10262876,14566
quad,all,part_time_y,1,1.904228348714811,.56349921,.0022247364,***,761195,.013479208,14566
quad,all,part_time_y,2,1.7683453545174,.58210927,.0052358187,***,761195,.035339009,14566
triple,all,employed_y,4,-.334712020808835,.57105666,.56265813,,461616,.07423386,14566
triple,1,employed_y,4,1.456518671553408,1.552299,.35640985,,133712,.074853703,4488
triple,2,employed_y,4,.7805451126566446,1.2269756,.53003246,,164039,.069830641,5414
triple,3,employed_y,4,-2.323726255021414,1.4167541,.11256915,,163865,.069675222,4664
triple,all,full_time_y,4,-4.076644284227512,.79529071,.000021712322,***,461616,.066869594,14566
triple,1,full_time_y,4,-1.577646958754929,1.5914001,.33031267,,133712,.070096061,4488
triple,2,full_time_y,4,-1.850367464930683,1.4060146,.19922607,,164039,.060581192,5414
triple,3,full_time_y,4,-7.255517164595203,1.3492321,.000011062746,***,163865,.048084695,4664
triple,all,part_time_y,4,3.741932263418685,.67245537,6.7119909e-06,***,461616,.026545221,14566
triple,1,part_time_y,4,3.034165630308371,.91546708,.002623755,***,133712,.018414497,4488
triple,2,part_time_y,4,2.630912577587321,1.1882349,.035451081,**,164039,.021384332,5414
triple,3,part_time_y,4,4.931790909573752,.90176421,8.6612454e-06,***,163865,.037869789,4664
quad,1,employed_y,1,1.136585723568342,1.0145525,.27245975,,252436,.068813443,4488
quad,1,employed_y,2,1.174472565383919,1.0547101,.27528775,,252436,.078379825,4488
quad,1,full_time_y,1,-3.190531222377863,1.2265215,.014889183,**,252436,.097705759,4488
quad,1,full_time_y,2,-3.198897634049186,1.2225742,.014371477,**,252436,.10521436,4488
quad,1,part_time_y,1,4.327116945946059,.65164673,3.9895912e-07,***,252436,.027591063,4488
quad,1,part_time_y,2,4.373370199433048,.64230043,2.5890907e-07,***,252436,.03400515,4488
quad,2,employed_y,1,2.619872620797708,.64826214,.00039664784,***,266367,.062005334,5414
quad,2,employed_y,2,2.254292634029107,.68136448,.0026628298,***,266367,.072128996,5414
quad,2,full_time_y,1,5.761073000960845,1.0315622,6.3597417e-06,***,266367,.075655602,5414
quad,2,full_time_y,2,5.248566069457516,.98878741,.00001332283,***,266367,.086686216,5414
quad,2,part_time_y,1,-3.141200380163198,.99887341,.0040176003,***,266367,.012528158,5414
quad,2,part_time_y,2,-2.994273435428519,1.0081241,.0061812308,***,266367,.027101126,5414
quad,3,employed_y,1,2.284761103617703,1.3868663,.11106116,,242391,.058972087,4664
quad,3,employed_y,2,1.933574761906312,1.346172,.1623892,,242391,.068725675,4664
quad,3,full_time_y,1,.4005144524069036,2.1776745,.85545176,,242391,.062687449,4664
quad,3,full_time_y,2,.5470444079397205,2.1457899,.80070251,,242391,.073079325,4664
quad,3,part_time_y,1,1.88424665121071,1.2762762,.15141542,,242391,.0084718382,4664
quad,3,part_time_y,2,1.38653035396663,1.2952195,.2938717,,242391,.036350653,4664
