design,adults,outcome,b,se,pval,stars,nobs,r2a,ntreat
col_placebo,all,employed_y,-1.464050225324605,.4682323,.0042015035,***,299579,.024739774,6508
col_placebo,1,employed_y,-2.878359359811757,.51778638,6.8131444e-06,***,118724,.021077387,2788
col_placebo,2,employed_y,-2.034629107178295,.9097026,.033771191,**,102328,.024571473,2358
col_placebo,3,employed_y,.6961205269616585,1.6466793,.67583138,,78527,.022370547,1362
col_placebo,all,full_time_y,-2.003006869572454,1.1373885,.089551844,*,299579,.041420635,6508
col_placebo,1,full_time_y,-1.181732416377074,1.3231864,.37969732,,118724,.032507639,2788
col_placebo,2,full_time_y,-3.745360228700646,1.4818248,.017648153,**,102328,.024092754,2358
col_placebo,3,full_time_y,-3.531515817839903,2.4314773,.1579092,,78527,.022332994,1362
col_placebo,all,part_time_y,.5389566442478987,.78441423,.49789086,,299579,.029288605,6508
col_placebo,1,part_time_y,-1.696626943434678,1.1144302,.13953191,,118724,.0191135,2788
col_placebo,2,part_time_y,1.710731121522362,1.1321739,.14240116,,102328,.015350942,2358
col_placebo,3,part_time_y,4.227636344801616,1.6689737,.017425375,**,78527,.027586628,1362
