design,adults,outcome,yr,b,se,lo,hi
placebo,1,full_time_y,2012,.7827457142131184,.83571929,-.85526407,2.4207554
placebo,1,full_time_y,2013,.9425286753648947,1.0160261,-1.0488826,2.9339399
placebo,1,full_time_y,2014,0,0,0,0
placebo,1,full_time_y,2015,-.7966028309463138,1.3596132,-3.4614446,1.868239
placebo,1,full_time_y,2016,-1.377166732701698,2.1572928,-5.6054606,2.8511271
placebo,1,full_time_y,2017,.5103790982014551,1.9595183,-3.3302767,4.3510351
placebo,2,full_time_y,2012,2.867158640318921,1.4484255,.02824463,5.7060728
placebo,2,full_time_y,2013,1.758726617812864,1.3453925,-.87824261,4.3956957
placebo,2,full_time_y,2014,0,0,0,0
placebo,2,full_time_y,2015,-1.77854934018066,1.7096723,-5.1295071,1.5724083
placebo,2,full_time_y,2016,-3.258538795065609,1.588243,-6.3714952,-.14558245
placebo,2,full_time_y,2017,-3.22327929052553,2.0280151,-7.1981888,.75163043
placebo,3,full_time_y,2012,-5.059531704119222,3.1746776,-11.281899,1.1628364
placebo,3,full_time_y,2013,-8.856529097132105,2.9419246,-14.622702,-3.0903571
placebo,3,full_time_y,2014,0,0,0,0
placebo,3,full_time_y,2015,-5.387565615849288,2.6486819,-10.578982,-.19614907
placebo,3,full_time_y,2016,-9.441203733621828,3.6067445,-16.510424,-2.3719845
placebo,3,full_time_y,2017,-10.05686035286941,4.5370488,-18.949476,-1.164245
placebo,all,full_time_y,2012,-.4345018345976983,.79904759,-2.0006351,1.1316314
placebo,all,full_time_y,2013,-.4906956119268789,.91443419,-2.2829866,1.3015954
placebo,all,full_time_y,2014,0,0,0,0
placebo,all,full_time_y,2015,-1.376060486943417,1.0288708,-3.3926473,.64052635
placebo,all,full_time_y,2016,-3.371057076913071,1.6033134,-6.5135512,-.22856277
placebo,all,full_time_y,2017,-2.938719638361398,1.6702448,-6.2123995,.33496022
placebo,1,part_time_y,2012,-.9104321114710844,.8782841,-2.6318688,.8110047
placebo,1,part_time_y,2013,-1.691310386024005,1.0224129,-3.6952395,.31261888
placebo,1,part_time_y,2014,0,0,0,0
placebo,1,part_time_y,2015,-1.966524623236495,1.233898,-4.3849649,.45191547
placebo,1,part_time_y,2016,-2.878124267048159,1.8436421,-6.491663,.73541427
placebo,1,part_time_y,2017,-3.118440127797448,1.8089007,-6.6638856,.42700523
placebo,2,part_time_y,2012,-2.745307949306798,1.2643669,-5.2234669,-.26714894
placebo,2,part_time_y,2013,-3.931817267596158,1.2570436,-6.3956227,-1.4680117
placebo,2,part_time_y,2014,0,0,0,0
placebo,2,part_time_y,2015,-1.168211236348542,1.2847993,-3.6864181,1.3499955
placebo,2,part_time_y,2016,1.561635643852302,1.495275,-1.3691036,4.4923749
placebo,2,part_time_y,2017,-.1171559754054691,1.280503,-2.6269419,2.3926299
placebo,3,part_time_y,2012,6.524123465119455,2.7830765,1.0692936,11.978953
placebo,3,part_time_y,2013,4.691783834914773,2.6459012,-.49418262,9.8777504
placebo,3,part_time_y,2014,0,0,0,0
placebo,3,part_time_y,2015,8.002346250579679,2.0538163,3.9768665,12.027826
placebo,3,part_time_y,2016,5.104176082650445,2.590874,.026062898,10.182289
placebo,3,part_time_y,2017,7.367655024663438,3.6462531,.22099915,14.514311
placebo,all,part_time_y,2012,-.1312904562705092,.7614677,-1.6237671,1.3611861
placebo,all,part_time_y,2013,-1.317722101420066,.89255983,-3.0671394,.4316951
placebo,all,part_time_y,2014,0,0,0,0
placebo,all,part_time_y,2015,-.0085164456681039,.83678091,-1.648607,1.6315742
placebo,all,part_time_y,2016,.1438060648403889,1.1355759,-2.0819228,2.369535
placebo,all,part_time_y,2017,.226385753621422,1.2943432,-2.3105268,2.7632985
quad,1,full_time_y,2012,1.54652071220555,1.4412105,-1.2782519,4.3712931
quad,1,full_time_y,2013,2.026457666077455,1.4611278,-.83735269,4.8902678
quad,1,full_time_y,2014,0,0,0,0
quad,1,full_time_y,2015,-2.498101670983001,1.6117687,-5.6571684,.66096491
quad,1,full_time_y,2016,-2.55774079151001,2.0061331,-6.4897618,1.3742802
quad,1,full_time_y,2017,-.9474307661589934,2.0856071,-5.0352206,3.1403592
quad,2,full_time_y,2012,-5.895358926734637,2.0177441,-9.8501377,-1.9405804
quad,2,full_time_y,2013,-3.294346742255434,1.733825,-6.6926436,.10395022
quad,2,full_time_y,2014,0,0,0,0
quad,2,full_time_y,2015,.0494394364881481,2.3534417,-4.5633063,4.6621852
quad,2,full_time_y,2016,.3172556580640285,1.6141169,-2.8464136,3.4809248
quad,2,full_time_y,2017,5.981067326405374,1.6180584,2.8096728,9.152462
quad,3,full_time_y,2012,5.834412638882107,3.1843534,-.40691975,12.075745
quad,3,full_time_y,2013,5.679030639487668,3.7726038,-1.7152728,13.073334
quad,3,full_time_y,2014,0,0,0,0
quad,3,full_time_y,2015,1.440548132753627,3.2918172,-5.0114136,7.8925099
quad,3,full_time_y,2016,3.628517509206955,3.7720761,-3.7647517,11.021787
