"qc_ct","education","age_bracket","exposure","n_law_years","dose_g"
0,1,20,11.9592642201463,6,2
0,1,25,5.54398493424733,6,1
0,1,30,6.36324702292431,6,1
0,1,35,3.7514865020434,6,1
0,1,40,4.32751658358259,6,1
0,1,45,4.29424580028473,6,1
0,2,20,12.014013208966,6,2
0,2,25,6.8635014078198,6,1
0,2,30,3.42802991639345,6,1
0,2,35,3.42490116504512,6,1
0,2,40,3.47335284611368,6,1
0,2,45,3.06392258230859,6,1
0,3,20,13.4406147757963,6,2
0,3,25,7.20456551978414,6,2
0,3,30,4.74183285380132,6,1
0,3,35,3.81417569234219,6,1
0,3,40,3.76576706222695,6,1
0,3,45,2.96283382003722,6,1
1,1,20,144.930940349544,4,3
1,1,25,59.645988255347,6,3
1,1,30,79.8969358778995,6,3
1,1,35,60.3319935440784,6,3
1,1,40,49.2286942702334,6,2
1,1,45,57.4563881330497,6,3
1,2,20,99.4214789834468,6,3
1,2,25,56.3212703740815,6,3
1,2,30,45.4744893308026,6,2
1,2,35,49.2395503231309,6,2
1,2,40,37.5655089924521,6,2
1,2,45,22.4880608361874,6,2
1,3,20,102.973456603918,6,3
1,3,25,74.5443491774103,6,3
1,3,30,56.3988798810972,6,3
1,3,35,19.1019736200717,6,2
1,3,40,32.7110307581986,6,2
1,3,45,21.6153279956203,6,2
2,1,20,150.105781860829,6,3
2,1,25,188.473472521337,6,3
2,1,30,159.05010095886,6,3
2,1,35,128.192646156283,6,3
2,1,40,122.818728913468,6,3
2,1,45,151.887379999349,6,3
2,2,20,408.994680094787,4,3
2,2,25,140.712226474279,6,3
2,2,30,126.232849920255,6,3
2,2,35,120.167024025895,6,3
2,2,40,101.676939449869,6,3
2,2,45,85.2077126745066,6,3
2,3,20,166.972339148794,6,3
2,3,25,149.026016560775,6,3
2,3,30,93.8982720110667,6,3
2,3,35,72.8677320225907,6,3
2,3,40,72.8412132773136,6,3
2,3,45,81.4116821811709,6,3
3,1,20,236.941447184737,3,3
3,1,25,205.264219758722,6,3
3,1,30,160.182632540319,6,3
3,1,35,153.529275751161,6,3
3,1,40,203.796280406308,6,3
3,1,45,85.4935828660908,6,3
3,2,20,659.546295180723,3,3
3,2,25,250.260317896507,6,3
3,2,30,141.289331008543,6,3
3,2,35,97.851050626837,6,3
3,2,40,141.464465979802,6,3
3,2,45,123.165640270249,6,3
3,3,20,304.974128999492,3,3
3,3,25,179.149252926822,6,3
3,3,30,119.680088949073,6,3
3,3,35,54.4812323450339,6,2
3,3,40,37.7227741315301,6,2
3,3,45,72.5492856192187,6,3
