"outcome","spec","term","b","se","p","n"
"employed_y",2,"g2_2012",0.861655621735433,0.92942024412921,0.362093846127046,461616
"employed_y",2,"g2_2013",1.34834413805381,0.708876651793408,0.0678782651223986,461616
"employed_y",2,"g2_2015",-0.742754610737704,0.805848412120777,0.364845534808985,461616
"employed_y",2,"g2_2016",0.375309561671189,0.957768258774446,0.698238730338408,461616
"employed_y",2,"g2_2017",-2.22689746057175,1.13846518856057,0.0608780977606063,461616
"employed_y",2,"g3_2012",0.799995202141136,0.577983965400851,0.177658890196997,461616
"employed_y",2,"g3_2013",0.544232478439203,0.623621387498816,0.390523540779894,461616
"employed_y",2,"g3_2015",-1.14253849213243,0.543123179672488,0.0448633415231926,461616
"employed_y",2,"g3_2016",-0.398686313241159,0.717029023502794,0.582772496428952,461616
"employed_y",2,"g3_2017",0.262812957145896,1.15912492777341,0.822338526036596,461616
"full_time_y",2,"g2_2012",1.09672535582811,0.97872220083606,0.272340162125933,461616
"full_time_y",2,"g2_2013",1.05165968636911,0.806403156733724,0.203196033949206,461616
"full_time_y",2,"g2_2015",-1.60655650100154,0.691277556215809,0.0278922699133108,461616
"full_time_y",2,"g2_2016",0.601929802343494,0.866208664203353,0.493054259985561,461616
"full_time_y",2,"g2_2017",-1.63893838926149,1.03459371994253,0.124806884902847,461616
"full_time_y",2,"g3_2012",2.03914005949495,0.717083508998524,0.0083985054287392,461616
"full_time_y",2,"g3_2013",0.996213701540278,0.626351017288767,0.123363503736308,461616
"full_time_y",2,"g3_2015",-2.88761896651985,0.605842079948768,5.7080728199691e-05,461616
"full_time_y",2,"g3_2016",-2.0218390172986,0.747612699686307,0.0116997375979568,461616
"full_time_y",2,"g3_2017",-1.79495466004947,0.984937383137476,0.079487790129422,461616
"part_time_y",2,"g2_2012",-0.235069734092627,0.793789674839119,0.769392033401711,461616
"part_time_y",2,"g2_2013",0.296684451684737,0.496802417000443,0.555357352172007,461616
"part_time_y",2,"g2_2015",0.863801890263957,0.617621654422712,0.17331681325169,461616
"part_time_y",2,"g2_2016",-0.226620240672251,0.846768143144956,0.791018307265024,461616
"part_time_y",2,"g2_2017",-0.587959071310105,0.659481448640055,0.380512192012143,461616
"part_time_y",2,"g3_2012",-1.23914485735383,0.520778906153607,0.0246684549301293,461616
"part_time_y",2,"g3_2013",-0.451981223101118,0.741697779224629,0.547361930431555,461616
"part_time_y",2,"g3_2015",1.74508047438748,0.623265055257998,0.00932703256219012,461616
"part_time_y",2,"g3_2016",1.62315270405737,0.64012381421119,0.0173213811676187,461616
"part_time_y",2,"g3_2017",2.05776761719545,0.56096713759254,0.00105711562658585,461616
