"outcome","spec","term","b","se","p","n"
"employed_y",1,"g2",-1.35958922363578,0.439683262994589,0.00457779292517888,461616
"employed_y",1,"g3",-0.483997234734077,0.485541280047372,0.327702196796804,461616
"employed_y",1,"g3_minus_g2",0.875591988901705,NA,NA,461616
"employed_y",2,"g2",-1.5887286650399,0.426340306796741,0.000908417448629208,461616
"employed_y",2,"g3",-0.875952645393865,0.478129660158516,0.0779987474945092,461616
"employed_y",2,"g3_minus_g2",0.712776019646038,NA,NA,461616
"employed_y",3,"g2",-1.56153704951705,0.88594232932064,0.0892909817393602,461616
"employed_y",3,"g3",-1.90940016864202,0.652278604078787,0.00686170174708695,461616
"employed_y",3,"g3_minus_g2",-0.347863119124965,NA,NA,461616
"full_time_y",1,"g2",-1.19127232843482,0.585546783577844,0.0518349434148824,461616
"full_time_y",1,"g3",-2.791974205557,0.491426799684202,4.9182290318136e-06,461616
"full_time_y",1,"g3_minus_g2",-1.60070187712218,NA,NA,461616
"full_time_y",2,"g2",-1.58762055270353,0.566405481232392,0.00925875951097149,461616
"full_time_y",2,"g3",-3.23615128998396,0.496127031886853,5.40140548794348e-07,461616
"full_time_y",2,"g3_minus_g2",-1.64853073728044,NA,NA,461616
"full_time_y",3,"g2",-1.11024004265644,0.997936155948935,0.275715481529724,461616
"full_time_y",3,"g3",-4.0101806476926,1.04859501317053,0.000703084965296635,461616
"full_time_y",3,"g3_minus_g2",-2.89994060503616,NA,NA,461616
"part_time_y",1,"g2",-0.16831689520091,0.505015181770041,0.741489236889029,461616
"part_time_y",1,"g3",2.30797697082292,0.302292941470888,3.26857420463585e-08,461616
"part_time_y",1,"g3_minus_g2",2.47629386602383,NA,NA,461616
"part_time_y",2,"g2",-0.00110811233640296,0.525117351354499,0.99833180497817,461616
"part_time_y",2,"g3",2.36019864459008,0.289254545728553,9.17863297994177e-09,461616
"part_time_y",2,"g3_minus_g2",2.36130675692649,NA,NA,461616
"part_time_y",3,"g2",-0.451297006860642,0.796841141437251,0.57582862095879,461616
"part_time_y",3,"g3",2.10078047905056,0.817658418484057,0.0160337681743914,461616
"part_time_y",3,"g3_minus_g2",2.5520774859112,NA,NA,461616
