"outcome","spec","method","M","lb","ub"
"full_time_y","basic","original",NA,-2.85047674691442,0.558463626465717
"full_time_y","basic","relative_magnitudes",0.5,-3.18608175355827,1.09684781679875
"full_time_y","basic","relative_magnitudes",1,-4.02177532826208,2.03700308834053
"full_time_y","basic","relative_magnitudes",1.5,-5.13603342786716,3.18608175355827
"full_time_y","basic","relative_magnitudes",2,-6.28511209308489,4.36998098438866
"full_time_y","basic","smoothness",0,-2.956497296375,0.429731289947346
"full_time_y","basic","smoothness",0.25,-3.63397812892484,1.41820898317694
"full_time_y","basic","smoothness",0.5,-4.48450076517888,2.56187665331371
"full_time_y","basic","smoothness",1,-5.91443203385201,4.72059585359142
"full_time_y","basic_cov","original",NA,-6.35539123734997,-0.980654143801413
"full_time_y","basic_cov","relative_magnitudes",0.5,-6.67036992785006,-0.686252050190337
"full_time_y","basic_cov","relative_magnitudes",1,-7.1644714039871,-0.192150574053294
"full_time_y","basic_cov","relative_magnitudes",1.5,-7.93307370020027,0.521551558144655
"full_time_y","basic_cov","relative_magnitudes",2,-8.8114763244439,1.39995418238828
"full_time_y","basic_cov","smoothness",0,-5.96511625472826,-0.770679003605004
"full_time_y","basic_cov","smoothness",0.25,-7.3616775323092,-0.509179387108932
"full_time_y","basic_cov","smoothness",0.5,-8.29114329977343,0.472590622841973
"full_time_y","basic_cov","smoothness",1,-9.9719172849372,2.2035658395616
"full_time_y","triple","original",NA,-5.09327749552789,-0.0336222929958687
"full_time_y","triple","relative_magnitudes",0.5,-5.60747152417974,0.439295004198414
"full_time_y","triple","relative_magnitudes",1,-6.43437976737676,1.26620324739542
"full_time_y","triple","relative_magnitudes",1.5,-7.67474213217228,2.45488384699113
"full_time_y","triple","relative_magnitudes",2,-8.96678626216761,3.69524621178665
"full_time_y","triple","smoothness",0,-4.95625885974311,-0.122467459515838
"full_time_y","triple","smoothness",0.25,-5.85987110702519,0.575520222041991
"full_time_y","triple","smoothness",0.5,-6.91349416973252,1.60882552593102
"full_time_y","triple","smoothness",1,-8.93517101042623,3.56774428175939
"full_time_y","triple_cov","original",NA,-9.16001083851436,-0.882582163777772
"full_time_y","triple_cov","relative_magnitudes",0.5,-9.59638636815523,-0.549572787603609
"full_time_y","triple_cov","relative_magnitudes",1,-10.3573333048371,0.0422748298156606
"full_time_y","triple_cov","relative_magnitudes",1.5,-11.371929220413,0.972321085760221
"full_time_y","triple_cov","relative_magnitudes",2,-12.7247237745142,2.15601632059875
"full_time_y","triple_cov","smoothness",0,-8.35977233088805,-0.927748392169089
"full_time_y","triple_cov","smoothness",0.25,-9.73162689671888,-0.172548312916016
"full_time_y","triple_cov","smoothness",0.5,-10.9426187415333,0.677323674912941
"full_time_y","triple_cov","smoothness",1,-13.1563661841408,2.23919353160423
"part_time_y","triple","original",NA,1.75218679678621,5.23735876614168
"part_time_y","triple","relative_magnitudes",0.5,0.907780416031532,5.99847059220835
"part_time_y","triple","relative_magnitudes",1,-0.516188864017931,7.38684064025657
"part_time_y","triple","relative_magnitudes",1.5,-2.15375353607481,9.02440531231345
"part_time_y","triple","relative_magnitudes",2,-3.86251667213416,10.6975692163716
"part_time_y","triple","smoothness",0,1.78104608626395,5.19205296777679
"part_time_y","triple","smoothness",0.25,1.17233383097591,6.40089963544187
"part_time_y","triple","smoothness",0.5,0.106015144217768,7.33898180081036
"part_time_y","triple","smoothness",1,-1.85527180127088,8.97871911312977
