"dim","level","mvpf_mean","mvpf_sd","n"
"sample",0,0.692971891136994,0.140821018913725,270
"sample",1,0.708895078445693,0.130652518691455,270
"sample",2,0.697231304985484,0.135909931771211,270
"sample",3,0.699383014687201,0.132100775325641,270
"contrs",0,0.708021426009371,0.132036171144341,360
"contrs",1,0.709105359515898,0.131400806479776,360
"contrs",2,0.68173418141626,0.139596259763189,360
"hetero",0,0.703151290785984,0.139363184469928,360
"hetero",1,0.703314307189898,0.135781465651457,360
"hetero",2,0.692395368965646,0.129349913229307,360
"design",0,0.68292537459777,0.141151019801368,864
"design",1,0.766400113178135,0.0755718747477508,216
