"county_fips","bite_mw","kaitz","exposure","n_wage","n_mother","popw","bite_z","kaitz_z","exposure_z"
0,0.414181220231345,0.84350762442638,0.195469650729061,951,655,165143,1.04423910470579,0.661335720618713,0.595744109388916
1,0.277180110058996,0.67805034075983,0.177779354380986,952,537,166972,-1.49998828613393,-1.56087299434982,-0.00843352056350877
7,0.453349168646081,0.932762059637123,0.148395448661171,169,128,34105,1.77162129215233,1.86008611334624,-1.01198361193753
13,0.312177412299886,0.693193947024724,0.185486054698077,623,307,122240,-0.850058553048152,-1.35748361751392,0.254773824340049
17,0.363005162898344,0.813660481369541,0.17907444668008,74,35,16831,0.0938560993563697,0.260467412206913,0.0357978354545387
19,0.438366686466889,0.89823247347599,0.22184627607841,743,554,152495,1.49338382754264,1.39632927175463,1.49658639468208
23,0.399779388591239,0.881801388824997,0.275213343677269,139,79,26142,0.776784815533055,1.17564814670118,3.31923468643323
25,0.462955703645629,0.953966943615283,0.263106030744974,112,107,25095,1.9500228353673,2.1448827504718,2.90573298535391
29,0.446410075329567,0.934812083121557,0.213609280965316,577,453,130926,1.642756414625,1.88761938327578,1.21526786346934
31,0.50221998827176,1.00166523850536,0.178010975257533,78,66,16753,2.67919406837305,2.78550469376132,-0.000522960475289596
37,0.351470330219526,0.794590298113104,0.156749404333336,8265,4796,1294888,-0.120355575375924,0.00434132038791621,-0.726670520544021
39,0.450361554685146,0.872910904494711,0.140444724145165,67,51,23523,1.71613875436046,1.05624263416497,-1.28352512825633
41,0.291151437289224,0.662866756097365,0.304749340369393,86,34,14968,-1.24052883079948,-1.76479930943058,4.32797914885556
47,0.500110399646721,1.00166525314675,0.198697763782889,178,151,36138,2.64001720946675,2.78550489040559,0.705994025823642
55,0.281332082551595,0.692744969150184,0.21720770651887,91,34,13477,-1.4228826179507,-1.36351370892797,1.33816508235867
59,0.318079268675521,0.708899176572454,0.152586190076678,1911,817,295550,-0.740456049617329,-1.14655124150633,-0.868856997982268
61,0.313686313686314,0.729609433933385,0.137850296334236,200,106,33584,-0.822036968167598,-0.868397790797855,-1.37213275896232
65,0.374217875595241,0.82490079670909,0.19141773444214,1880,1206,345727,0.302085731460601,0.41143282245069,0.457358797417365
67,0.334881587246975,0.762806682757815,0.202743812101219,1268,791,224421,-0.428422672038635,-0.422535184958759,0.844178928752489
71,0.397904269694886,0.83956711135875,0.189896313657555,1545,1146,329332,0.741962259342241,0.608411834245826,0.405397632623709
73,0.341670327672661,0.796340444506646,0.170448496646541,2024,1028,344778,-0.302349975849523,0.0278470282178475,-0.258804693797
75,0.228235294117647,0.610245350158493,0.167513063958195,372,110,58561,-2.40893523700849,-2.47154212715338,-0.359058682177613
77,0.388650311306596,0.834721032087801,0.23413318188272,553,413,101512,0.570108364322266,0.543325551244621,1.91622174064988
79,0.295080621999754,0.697993019207599,0.230095759233926,151,73,29010,-1.16756052162577,-1.29302867305804,1.7783314306704
81,0.21528953994049,0.663964218734131,0.0878859857482185,335,134,53226,-2.64934892658492,-1.75005960754662,-3.07856650987867
83,0.361306975572904,0.81366046687799,0.17993604682673,233,131,41565,0.0623193132476442,0.260467217575113,0.0652241109858797
85,0.288102926507633,0.67805034075983,0.177351717385984,952,486,148236,-1.29714227445725,-1.56087299434982,-0.0230386295473838
87,0.309330092983939,0.799368153001428,0.166971136280599,141,62,23749,-0.902935699700367,0.0685113015238701,-0.377567166909204
89,0.446437966957803,0.860806142980837,0.215097039620785,141,88,28174,1.64327438593519,0.893667098457782,1.26607936378093
95,0.324479466710559,0.785526516508612,0.204925880682756,372,216,68303,-0.62159891680244,-0.117391697498829,0.918703232814266
97,0.316530092056203,0.688644872862594,0.169546840725483,333,129,58237,-0.769225579901858,-1.41858091117248,-0.289598996317358
99,0.379763564277568,0.81366046687799,0.180040389580511,392,293,82380,0.405073897241859,0.260467217575113,0.0687877345929352
107,0.554405816521502,1.03296734043545,0.261724966004108,344,292,64633,3.64832938033965,3.20591413216389,2.85856540796971
111,0.361078394574376,0.784780562916012,0.13394204648355,592,310,99021,0.0580743692705624,-0.127410383516778,-1.50561142351315
113,0.251946640912658,0.701981584823959,0.125506960429683,116,62,23318,-1.96859531630513,-1.23945940686145,-1.79369536513827
