"outcome","spec","b","se","p","n","G"
"full_time_y_31",1,-1.83511438117681,0.437031075382604,0.000260896554852087,461616,28
"full_time_y_31",2,-2.16673057878196,0.438240316547722,3.53868689707984e-05,461616,28
"full_time_y_31",3,-2.09657357139327,0.747061928601447,0.00918269887267917,461616,28
"full_time_y_31",4,-3.36940779262734,0.819498764877241,0.000329273401321441,461616,28
"part_time_y_31",1,2.66315770584946,0.288932949844431,7.92015466300732e-10,461616,28
"part_time_y_31",2,2.51797626691067,0.310461327627651,1.03226706468446e-08,461616,28
"part_time_y_31",3,2.40938137313208,0.618864215397228,0.000586625990386108,461616,28
"part_time_y_31",4,3.03469569865128,0.534103337452499,4.91185317279038e-06,461616,28
"full_time_y_39",1,-2.1100600791467,0.419667640457701,2.82535946942442e-05,461616,28
"full_time_y_39",2,-2.36071652486489,0.417914198577596,5.36313385499592e-06,461616,28
"full_time_y_39",3,-2.04040892096204,0.652604181144266,0.00420355349598926,461616,28
"full_time_y_39",4,-3.05122208011389,0.938017712995788,0.00306457211299191,461616,28
"part_time_y_39",1,2.93810340381935,0.340157602859806,2.97877966768838e-09,461616,28
"part_time_y_39",2,2.7119622129936,0.35264070012581,2.85260911320878e-08,461616,28
"part_time_y_39",3,2.3532167227009,0.583091612785261,0.000402598006776541,461616,28
"part_time_y_39",4,2.7165099861379,0.685974859443857,0.000491828393322136,461616,28
