"outcome","year","b","se","p","n"
"employed_y",2012,1.05763262697536,1.67413130895698,0.541722077879401,178830
"employed_y",2013,0.756317423335702,0.791064266786632,0.361575539553588,178830
"employed_y",2015,0.0932782043789732,1.1451088299394,0.936685082500191,178830
"employed_y",2016,0.817867779910279,1.7885395916091,0.65724146589891,178830
"employed_y",2017,-0.79061656618843,1.80639621498746,0.670922971111595,178830
"full_time_y",2012,1.0059213978005,1.64853753343667,0.555348088683452,178830
"full_time_y",2013,-1.23190640700913,1.16919252436003,0.316840849702674,178830
"full_time_y",2015,-4.6926731171635,1.23904415580931,0.0035589075132883,178830
"full_time_y",2016,-5.36549514828465,2.16883304177997,0.0328840419399449,178830
"full_time_y",2017,-4.43138014713189,1.71324371553101,0.0271102336367069,178830
"part_time_y",2012,0.0517112291748847,1.60702743408333,0.974963148054948,178830
"part_time_y",2013,1.98822383034487,0.73230272168249,0.0217450487682232,178830
"part_time_y",2015,4.78595132154256,1.07026963026088,0.00119422717972011,178830
"part_time_y",2016,6.18336292819499,1.02670295432992,0.000128200910430004,178830
"part_time_y",2017,3.64076358094349,0.761285274089653,0.000743051331799402,178830
