"outcome","spec","b","se","p","n","G"
"employed_y",1,0.184375296052164,0.582624326996977,0.758162966104895,178830,11
"employed_y",2,-0.0304331232916491,0.575781167918486,0.95888812520172,178830,11
"employed_y",3,-0.490066649725639,0.937356189482622,0.61248718195081,178830,11
"employed_y",4,-0.364161453385285,0.980693498991512,0.718137717310715,178830,11
"full_time_y",1,-2.99070392182679,0.962701101208394,0.011125360340486,178830,11
"full_time_y",2,-3.20204037020947,1.04026739233493,0.011678558050373,178830,11
"full_time_y",3,-3.97106920966576,1.30676174847734,0.0124867980266189,178830,11
"full_time_y",4,-4.55003857166357,1.17719530803771,0.00313382224318032,178830,11
"part_time_y",1,3.17507921787895,0.82906720797886,0.00332048431904668,178830,11
"part_time_y",2,3.17160724691783,0.878143157052252,0.00475451706063844,178830,11
"part_time_y",3,3.48100255994012,1.1491162917861,0.0126925905291182,178830,11
"part_time_y",4,4.18587711827827,0.842357263557596,0.000562292833540934,178830,11
