year,qc_present,ca,employed_y,full_time_y,part_time_y,n
2012,No qualifying children,0,.71639735,.5118165,.2045808,4584174
2012,1+ qualifying children,0,.73362195,.52808034,.2055416,3886060
2012,No qualifying children,1,.71987295,.47163019,.24824272,913771
2012,1+ qualifying children,1,.7109468,.50928086,.20166592,671219
2013,No qualifying children,0,.72037739,.51302791,.20734948,4785568
2013,1+ qualifying children,0,.73950714,.52362275,.2158844,3913474
2013,No qualifying children,1,.71557558,.48234358,.23323201,933967
2013,1+ qualifying children,1,.71224558,.5069207,.20532489,675583
2014,No qualifying children,0,.7227149,.50816929,.21454562,4822769
2014,1+ qualifying children,0,.74147433,.52711719,.21435711,3894669
2014,No qualifying children,1,.73450518,.48609626,.2484089,986426
2014,1+ qualifying children,1,.72655833,.5211876,.20537075,690853
2015,No qualifying children,0,.73606163,.52456939,.21149223,4894506
2015,1+ qualifying children,0,.75367749,.54935884,.20431866,3866715
2015,No qualifying children,1,.74662912,.5004313,.24619782,986605
2015,1+ qualifying children,1,.74256891,.51618749,.22638141,645159
2016,No qualifying children,0,.73939145,.52999288,.20939858,4886313
2016,1+ qualifying children,0,.76929557,.55919915,.21009643,3796052
2016,No qualifying children,1,.74958819,.52244216,.22714598,979762
2016,1+ qualifying children,1,.7549057,.53526646,.2196392,631818
2017,No qualifying children,0,.73865223,.53878123,.19987097,4919659
2017,1+ qualifying children,0,.76871127,.57159024,.19712108,3709096
2017,No qualifying children,1,.75418395,.51929015,.23489378,987706
2017,1+ qualifying children,1,.77586168,.56130123,.2145604,625395
