outcome,year,coef,se,ci_lo,ci_hi
employed_y,2012,.6446802,.6296593,-.58945209,1.8788124
employed_y,2013,2.3582199,.7108568,.96494049,3.7514992
employed_y,2015,-1.1166399,.58657449,-2.266326,.033046097
employed_y,2016,.45760217,.80934668,-1.1287173,2.0439217
employed_y,2017,-.7178486,1.0531225,-2.7819686,1.3462715
full_time_y,2012,-.54098934,.94596875,-2.3950882,1.3131094
full_time_y,2013,.98815155,.88802683,-.75238109,2.7286842
full_time_y,2015,-2.1346793,.57379144,-3.2593107,-1.0100482
full_time_y,2016,1.0706166,1.0923442,-1.0703779,3.211611
full_time_y,2017,-.703426,1.253704,-3.1606858,1.7538337
part_time_y,2012,1.1856695,.67516059,-.1376452,2.5089843
part_time_y,2013,1.3700683,.43909171,.50944853,2.2306881
part_time_y,2015,1.0180396,.34352031,.34473974,1.6913394
part_time_y,2016,-.6130144,.53646892,-1.6644934,.43846473
part_time_y,2017,-.014422581,.5875504,-1.1660213,1.1371763
