outcome,year,coef,se,ci_lo,ci_hi
employed_y,2012,3.7034249,.79794729,2.1394484,5.2674017
employed_y,2013,4.3570452,.65860391,3.0661817,5.6479092
employed_y,2015,3.3801486,.83000463,1.7533395,5.0069575
employed_y,2016,.33825353,.67327875,-.98137283,1.6578798
employed_y,2017,1.5674698,.83356142,-.066310532,3.2012503
full_time_y,2012,3.4136617,1.1411811,1.1769468,5.6503768
full_time_y,2013,1.3381392,.79047537,-.21119253,2.887471
full_time_y,2015,2.4159994,.73249209,.98031491,3.8516839
full_time_y,2016,-1.4691457,1.322615,-4.061471,1.1231797
full_time_y,2017,-.5289185,1.6259087,-3.7156997,2.6578627
part_time_y,2012,.28976321,.64870399,-.98169661,1.561223
part_time_y,2013,3.0189061,.66614872,1.7132547,4.3245578
part_time_y,2015,.9641493,.7174508,-.44205427,2.3703527
part_time_y,2016,1.8073992,1.4074798,-.95126104,4.5660596
part_time_y,2017,2.0963883,1.9085387,-1.6443474,5.8371243
