outcome,year,coef,se,ci_lo,ci_hi
employed_y,2012,-1.6643153,.59222025,-2.825067,-.50356358
employed_y,2013,-2.2502193,.80989724,-3.8376179,-.6628207
employed_y,2015,.23544915,.5073536,-.75896388,1.2298622
employed_y,2016,-2.0558119,1.6683302,-5.3257389,1.2141154
employed_y,2017,-2.7929575,1.8570554,-6.432786,.84687096
full_time_y,2012,-3.1419325,.7587468,-4.629076,-1.6547887
full_time_y,2013,-.55357683,.91717261,-2.3512352,1.2440815
full_time_y,2015,-2.1457484,.99707025,-4.1000061,-.19149064
full_time_y,2016,-2.8820755,1.8923199,-6.5910225,.82687163
full_time_y,2017,-3.3695617,1.9973094,-7.2842884,.54516476
part_time_y,2012,1.4776171,.77444136,-.040287971,2.9955223
part_time_y,2013,-1.6966424,.67408174,-3.0178425,-.37544224
part_time_y,2015,2.3811975,.80962265,.79433703,3.9680579
part_time_y,2016,.82626367,.79213119,-.72631347,2.3788409
part_time_y,2017,.57660413,.84697556,-1.083468,2.2366762
