outcome,year,coef,se,ci_lo,ci_hi,xpos
incearn_real,2012,-.04331769,.020625526,-.083743721,-.0028916618,.89999998
incearn_real,2013,-.043507978,.016049793,-.074965574,-.012050384,1.9
incearn_real,2014,0,0,0,0,2.9000001
incearn_real,2015,-.1154717,.015576744,-.14600211,-.084941275,3.9000001
incearn_real,2016,-.1160676,.038422484,-.19137567,-.040759526,4.9000001
incearn_real,2017,-.069043748,.035750795,-.1391153,.0010278092,5.9000001
inctot_hh_real,2012,-.004961282,.010241728,-.02503507,.015112506,1.1
inctot_hh_real,2013,.028162202,.0086740013,.011161158,.045163244,2.0999999
inctot_hh_real,2014,0,0,0,0,3.0999999
inctot_hh_real,2015,-.022221675,.015988613,-.053559355,.0091160079,4.0999999
inctot_hh_real,2016,-.031240175,.026417529,-.083018534,.020538183,5.0999999
inctot_hh_real,2017,-.041684676,.025296703,-.091266215,.0078968629,6.0999999
incother_hh_real,2012,.0208894,.016461175,-.011374502,.053153303,1
incother_hh_real,2013,.071681902,.011948159,.048263509,.095100291,2
incother_hh_real,2014,0,0,0,0,3
incother_hh_real,2015,.031592619,.019890977,-.0073936977,.070578933,4
incother_hh_real,2016,.019921632,.027003959,-.033006128,.072849393,5
incother_hh_real,2017,-.021237282,.026096946,-.072387293,.029912731,6
