outcome,year,coef,se,ci_lo,ci_hi
employed_y,2012,-.57258433,.46203864,-1.4781801,.33301145
employed_y,2013,-1.3987007,.56631958,-2.508687,-.28871426
employed_y,2015,-1.0651897,.47038946,-1.9871531,-.14322639
employed_y,2016,-2.6853914,.64859134,-3.9566305,-1.4141524
employed_y,2017,-2.5024586,.6353485,-3.7477417,-1.2571756
full_time_y,2012,-.71695977,.7572425,-2.2011552,.76723558
full_time_y,2013,-.052662104,.89713722,-1.811051,1.7057269
full_time_y,2015,-.88657147,.987845,-2.8227477,1.0496047
full_time_y,2016,-2.8317289,1.5989457,-5.9656625,.30220485
full_time_y,2017,-2.5639825,1.7011354,-5.8982077,.77024281
part_time_y,2012,.14437546,.71074063,-1.2486761,1.5374271
part_time_y,2013,-1.3460386,.83520788,-2.9830461,.29096887
part_time_y,2015,-.17861824,.80416816,-1.7547878,1.3975513
part_time_y,2016,.14633749,1.1019536,-2.0134916,2.3061666
part_time_y,2017,.061523862,1.2483698,-2.3852811,2.5083287
