outcome,year,coef,se,ci_lo,ci_hi
employed_y,2012,1.6952488,1.3772634,-1.0041876,4.3946853
employed_y,2013,2.3800104,1.8708918,-1.2869375,6.0469584
employed_y,2015,1.544306,1.2939879,-.99191022,4.0805221
employed_y,2016,2.8866339,1.1242373,.68312883,5.0901389
employed_y,2017,4.0992899,1.1794645,1.7875398,6.4110403
full_time_y,2012,1.5650774,2.5988073,-3.5285847,6.6587396
full_time_y,2013,-.20387839,3.7583179,-7.5701818,7.162425
full_time_y,2015,-.81244367,2.3100324,-5.340107,3.7152197
full_time_y,2016,.82055241,1.7147764,-2.5404093,4.1815143
full_time_y,2017,3.3110199,1.8901215,-.39361808,7.0156579
part_time_y,2012,.1301714,1.6631286,-3.1295607,3.3899033
part_time_y,2013,2.5838888,2.6603842,-2.6304641,7.7982416
part_time_y,2015,2.3567498,2.3048601,-2.1607764,6.8742757
part_time_y,2016,2.0660815,1.7945224,-1.4511825,5.5833454
part_time_y,2017,.78827018,1.9147742,-2.9646871,4.5412273
