outcome,year,coef,se,ci_lo,ci_hi
employed_y,2012,1.3859295,.53915244,.32919067,2.4426682
employed_y,2013,2.5749652,.6155116,1.3685625,3.781368
employed_y,2015,-1.0632795,.58748752,-2.2147551,.088196076
employed_y,2016,.64033234,.73412299,-.79854876,2.0792134
employed_y,2017,-.60177618,.92895776,-2.4225333,1.218981
full_time_y,2012,-.054701079,.82837039,-1.6783071,1.5689049
full_time_y,2013,.52334613,.7741223,-.99393362,2.0406258
full_time_y,2015,-2.4995065,.58347446,-3.6431165,-1.3558966
full_time_y,2016,.54662848,.92283338,-1.2621249,2.355382
full_time_y,2017,-1.0495493,1.036581,-3.0812483,.98214942
part_time_y,2012,1.4406306,.56761307,.32810891,2.5531521
part_time_y,2013,2.0516191,.40206683,1.2635682,2.8396702
part_time_y,2015,1.4362271,.34404975,.76188952,2.1105645
part_time_y,2016,.093703888,.50929308,-.9045105,1.0919182
part_time_y,2017,.44777322,.57442319,-.67809623,1.5736427
