outcome,year,coef,se,ci_lo,ci_hi
employed_y,2012,3.9092252,.71901453,2.4999568,5.3184938
employed_y,2013,3.6939609,.70725894,2.3077335,5.0801883
employed_y,2015,2.9523511,.85623693,1.2741268,4.6305752
employed_y,2016,.88607109,.77389669,-.63076645,2.4029086
employed_y,2017,1.9024658,1.0195874,-.095925435,3.9008572
full_time_y,2012,3.2335584,1.0608996,1.1541952,5.3129215
full_time_y,2013,.0054886676,.71940804,-1.404551,1.4155284
full_time_y,2015,1.9228516,.70547044,.54012948,3.3055735
full_time_y,2016,-1.0524876,.90923923,-2.8345964,.72962135
full_time_y,2017,-.013997274,1.0646673,-2.1007452,2.0727506
part_time_y,2012,.67566687,.57356638,-.44852322,1.7998569
part_time_y,2013,3.6884723,.53919268,2.6316547,4.7452898
part_time_y,2015,1.0294995,.71074218,-.36355513,2.4225543
part_time_y,2016,1.9385587,1.1834805,-.3810631,4.2581806
part_time_y,2017,1.9164631,1.6149464,-1.2488317,5.081758
