outcome,year,coef,se,ci_lo,ci_hi
employed_y,2012,1.6184253,.71304202,.22086294,3.0159876
employed_y,2013,.46818346,.81368619,-1.1266414,2.0630083
employed_y,2015,.36384019,.5342682,-.68332547,1.4110059
employed_y,2016,.867549,.80388814,-.70807177,2.4431698
employed_y,2017,2.8731,.74107563,1.420592,4.3256083
full_time_y,2012,.33048198,.93269098,-1.4975923,2.1585565
full_time_y,2013,3.147254,.76515979,1.6475407,4.6469669
full_time_y,2015,3.1928079,.83588248,1.5544782,4.8311377
full_time_y,2016,2.9654472,.92398435,1.1544379,4.7764564
full_time_y,2017,2.8675191,1.0579207,.79399455,4.9410434
part_time_y,2012,1.2879434,.91658294,-.50855929,3.084446
part_time_y,2013,-2.6790705,.82531554,-4.296689,-1.0614519
part_time_y,2015,-2.8289676,.88375163,-4.561121,-1.0968144
part_time_y,2016,-2.0978982,1.0005989,-4.059072,-.13672426
part_time_y,2017,.0055810413,1.3520041,-2.644347,2.655509
