outcome,year,coef,se,ci_lo,ci_hi
employed_y,2012,-1.5064076,.58304954,-2.6491847,-.36363044
employed_y,2013,-2.0027916,.75526059,-3.4831026,-.52248096
employed_y,2015,.54163998,.50659513,-.45128652,1.5345665
employed_y,2016,-2.2677729,1.5559247,-5.3173852,.78183937
employed_y,2017,-2.6785698,1.6721053,-5.9558964,.59875667
full_time_y,2012,-2.887892,.7806074,-4.4178824,-1.3579015
full_time_y,2013,-.031159928,.88354611,-1.7629104,1.7005905
full_time_y,2015,-1.4656205,.97824711,-3.3829849,.45174381
full_time_y,2016,-2.7633626,1.7768382,-6.2459655,.71924019
full_time_y,2017,-2.875845,1.8511223,-6.5040445,.75235462
part_time_y,2012,1.3814844,.74040341,-.06970638,2.832675
part_time_y,2013,-1.9716318,.6397351,-3.2255125,-.71775097
part_time_y,2015,2.0072606,.78041017,.4776566,3.5368645
part_time_y,2016,.49558967,.78898948,-1.0508296,2.0420091
part_time_y,2017,.19727521,.86200219,-1.4922491,1.8867996
