outcome,year,coef,se,ci_lo,ci_hi
employed_y,2012,.61678749,.62579644,-.60977358,1.8433485
employed_y,2013,.54459167,.62999249,-.69019353,1.7793769
employed_y,2015,.028193029,.46275458,-.87880594,.93519199
employed_y,2016,-.89352679,.79438508,-2.4505215,.66346794
employed_y,2017,.84719449,.76730168,-.65671682,2.3511059
full_time_y,2012,.97041905,.59520739,-.19618741,2.1370254
full_time_y,2013,-.095312506,.47639215,-1.0290412,.8384161
full_time_y,2015,-3.4318051,.66927254,-4.7435794,-2.1200309
full_time_y,2016,-4.8274541,.90368521,-6.5986772,-3.056231
full_time_y,2017,-2.3513587,.81851321,-3.9556444,-.74707264
part_time_y,2012,-.35363156,.6251753,-1.5789752,.87171209
part_time_y,2013,.63990414,.58116621,-.49918163,1.7789899
part_time_y,2015,3.4599981,.62046462,2.2438874,4.6761088
part_time_y,2016,3.9339273,.76866573,2.4273424,5.4405122
part_time_y,2017,3.1985531,.79144526,1.6473203,4.7497859
