hours_bin,coef,se,ci_lo,ci_hi,bin_order
1-10,-.83302563,.28963068,-1.4007018,-.26534945,1
11-19,-.10619383,.22050956,-.53839254,.32600489,2
20-24,1.3263094,.3284021,.68264133,1.9699775,3
25-29,.72347498,.31970894,.096845441,1.3501045,4
30-34,2.6313672,.43575731,1.777283,3.4854517,5
35-39,-.90452319,.4586125,-1.8034037,-.0056426488,6
40-44,-2.3287663,.95737445,-4.2052202,-.45231229,7
45-49,-.30654612,.24290308,-.78263617,.16954394,8
50-59,-.91046524,.28968462,-1.478247,-.34268343,9
60+,.37110376,.21010402,-.040700112,.78290766,10
