outcome,state_sample,edu_sample,age_sample,pre_period,ctrl_demo,ctrl_unemp,ctrl_mw,tau,se,ci_lower,ci_upper,n_obs,pre_mean,significant
part_time_y,Medicaid Expansion,All Education,Age 20-64,Incl. 2010-11,1,1,1,2.6680069,.48700824,1.7134707,3.6225431,456516,18.225668,1
part_time_y,Medicaid Expansion,All Education,Age 20-64,Incl. 2010-11,0,1,1,2.0802667,.48227745,1.1350031,3.0255306,591182,18.225668,1
part_time_y,Medicaid Expansion,All Education,Age 20-64,Incl. 2010-11,1,0,1,2.4078336,.38037369,1.6623012,3.1533661,456516,18.225668,1
part_time_y,Medicaid Expansion,All Education,Age 20-64,Incl. 2010-11,0,0,1,1.7866334,.3669695,1.0673732,2.5058935,591182,18.225668,1
part_time_y,Medicaid Expansion,All Education,Age 20-64,Incl. 2010-11,1,1,0,2.1046319,.61319083,.90277797,3.3064859,456516,18.225668,1
part_time_y,Medicaid Expansion,All Education,Age 20-64,Incl. 2010-11,0,1,0,1.6132877,.59676248,.44363329,2.7829423,591182,18.225668,1
part_time_y,Medicaid Expansion,All Education,Age 20-64,Incl. 2010-11,1,0,0,1.8708037,.46858078,.95238537,2.789222,456516,18.225668,1
part_time_y,Medicaid Expansion,All Education,Age 20-64,Incl. 2010-11,0,0,0,1.3433261,.41220668,.53540105,2.1512513,591182,18.225668,1
part_time_y,Medicaid Expansion,All Education,Age 20-49,Incl. 2010-11,1,1,1,3.1687028,.530967,2.1280074,4.2093983,369974,18.296629,1
part_time_y,Medicaid Expansion,All Education,Age 20-49,Incl. 2010-11,0,1,1,3.08462,.54338425,2.019587,4.1496534,369974,18.296629,1
part_time_y,Medicaid Expansion,All Education,Age 20-49,Incl. 2010-11,1,0,1,2.9551048,.44729605,2.0784047,3.8318052,369974,18.296629,1
part_time_y,Medicaid Expansion,All Education,Age 20-49,Incl. 2010-11,0,0,1,2.8558106,.45858687,1.9569803,3.7546408,369974,18.296629,1
part_time_y,Medicaid Expansion,All Education,Age 20-49,Incl. 2010-11,1,1,0,2.6462104,.61842531,1.4340968,3.8583241,369974,18.296629,1
part_time_y,Medicaid Expansion,All Education,Age 20-49,Incl. 2010-11,0,1,0,2.5801051,.63758481,1.3304389,3.8297713,369974,18.296629,1
part_time_y,Medicaid Expansion,All Education,Age 20-49,Incl. 2010-11,1,0,0,2.4582093,.5124954,1.4537182,3.4627001,369974,18.296629,1
