year,qc_ct,education,mean_actual,mean_sim,sd_actual,sd_sim,N,ratio
2012,1,No High School,0,0,0,0,52729,
2012,1,High School,0,0,0,0,122312,
2012,1,Some college,0,0,0,0,131323,
2012,2,No High School,0,0,0,0,38154,
2012,2,High School,0,0,0,0,77465,
2012,2,Some college,0,0,0,0,87038,
2012,3+,No High School,0,0,0,0,38978,
2012,3+,High School,0,0,0,0,52441,
2012,3+,Some college,0,0,0,0,52689,
2013,1,No High School,0,0,0,0,48318,
2013,1,High School,0,0,0,0,123300,
2013,1,Some college,0,0,0,0,140283,
2013,2,No High School,0,0,0,0,40112,
2013,2,High School,0,0,0,0,79311,
2013,2,Some college,0,0,0,0,88674,
2013,3+,No High School,0,0,0,0,38773,
2013,3+,High School,0,0,0,0,46922,
2013,3+,Some college,0,0,0,0,53876,
2014,1,No High School,0,0,0,0,48453,
2014,1,High School,0,0,0,0,127213,
2014,1,Some college,0,0,0,0,138117,
2014,2,No High School,0,0,0,0,36470,
2014,2,High School,0,0,0,0,86323,
2014,2,Some college,0,0,0,0,89944,
2014,3+,No High School,0,0,0,0,39621,
2014,3+,High School,0,0,0,0,51181,
2014,3+,Some college,0,0,0,0,56128,
2015,1,No High School,.10218456,.09701892,.29407847,.046301767,44258,1.0532436
2015,1,High School,.075834386,.082802027,.25656998,.051438902,115186,.91585183
2015,1,Some college,.076882102,.078681216,.26551554,.053669468,136833,.97713411
2015,2,No High School,.16501562,.22151721,.43260524,.097058415,33547,.74493366
2015,2,High School,.20259246,.2247532,.54399765,.13013031,80655,.90139967
2015,2,Some college,.10391201,.16095281,.37224823,.086431861,85106,.64560544
2015,3+,No High School,.17983332,.25045696,.5311138,.10790452,29714,.71802086
2015,3+,High School,.17356165,.25790983,.51446611,.15511689,51742,.67295474
2015,3+,Some college,.17139186,.13682923,.52528912,.099530153,51600,1.2525969
2016,1,No High School,.082919195,.10453053,.25186896,.048244577,38995,.79325336
2016,1,High School,.07783585,.088139251,.26062188,.051188815,112512,.88310087
2016,1,Some college,.071108066,.082861371,.25721693,.060107641,129232,.85815698
2016,2,No High School,.24281423,.2539095,.52837974,.08830101,33081,.95630229
2016,2,High School,.20397727,.24344175,.52090782,.13148826,78936,.83788943
2016,2,Some college,.12764841,.16402899,.40103367,.085837327,87578,.77820641
2016,3+,No High School,.32191256,.27777061,.69095719,.11042298,35067,1.1589152
2016,3+,High School,.1742107,.27332154,.53488797,.16838016,56517,.6373837
2016,3+,Some college,.13462183,.13967511,.48062289,.10196973,46250,.96382117
2017,1,No High School,.11809521,.16415921,.28164747,.054252889,43545,.71939439
2017,1,High School,.11330593,.1337693,.28780216,.061896797,120494,.84702486
2017,1,Some college,.086124986,.12174851,.24402979,.071226642,112247,.70740074
2017,2,No High School,.18122272,.33167487,.50811976,.12783483,29710,.54638666
2017,2,High School,.21480171,.30767369,.53127897,.14675096,80284,.69814783
2017,2,Some college,.16939878,.20755003,.45557976,.091516577,91275,.81618285
2017,3+,No High School,.30737606,.33535272,.69137478,.16896915,26462,.91657543
2017,3+,High School,.19739172,.29949102,.52519584,.15200804,54521,.65909064
2017,3+,Some college,.26141629,.20867242,.64843225,.13926001,49596,1.2527592
